time,"
unemployment(%)"
107,3.71
107/1,3.63
107/2,3.7
107/3,3.66
107/4,3.64
107/5,3.63
107/6,3.7
107/7,3.81
107/8,3.87
107/9,3.76
107/10,3.75
107/11,3.7
107/12,3.66
108,3.73
108/1,3.64
108/2,3.72
108/3,3.68
108/4,3.67
108/5,3.67
108/6,3.73
108/7,3.82
108/8,3.89
108/9,3.8
108/10,3.77
108/11,3.73
108/12,3.67
109,3.85
109/1,3.64
109/2,3.7
109/3,3.72
109/4,4.03
109/5,4.07
109/6,3.96
109/7,4
109/8,3.99
109/9,3.83
109/10,3.8
109/11,3.75
109/12,3.68
110,3.95
110/1,3.66
110/2,3.7
110/3,3.67
110/4,3.64
110/5,4.11
110/6,4.8
110/7,4.53
110/8,4.24
110/9,3.96
110/10,3.83
110/11,3.66
110/12,3.64
111,3.67
111/1,3.61
111/2,3.65
111/3,3.66
111/4,3.62
111/5,3.68
111/6,3.74
111/7,3.78
111/8,3.79
111/9,3.66
111/10,3.64
111/11,3.61
111/12,3.52
112/1,3.5
112/2,3.53
112/3,3.56
112/4,3.5
112/5,3.46
112/6,3.49
112/7,3.56
112/8,3.56
112/9,3.48
112/10,3.43
112/11,3.34
,
,
,
 ,
  ,
